threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tp,fp,tn,fn
0.05012483014826524,0.9058641975308642,0.9982993197278912,0.9498381877022654,0.08254397834912043,0.0017006802721088435,587.0,61.0,678.0,1.0
0.05107610517202985,0.9072642967542504,0.9982993197278912,0.9506072874493927,0.08119079837618404,0.0017006802721088435,587.0,60.0,679.0,1.0
0.055,0.9085271317829458,0.9965986394557823,0.9505271695052717,0.07983761840324763,0.003401360544217687,586.0,59.0,680.0,2.0
0.05588713100829635,0.9085271317829458,0.9965986394557823,0.9505271695052717,0.07983761840324763,0.003401360544217687,586.0,59.0,680.0,2.0
0.05621058403284092,0.9099378881987578,0.9965986394557823,0.9512987012987013,0.07848443843031123,0.003401360544217687,586.0,58.0,681.0,2.0
0.05792851052987591,0.911353032659409,0.9965986394557823,0.9520714865962632,0.07713125845737483,0.003401360544217687,586.0,57.0,682.0,2.0
0.06,0.9127725856697819,0.9965986394557823,0.9528455284552846,0.07577807848443843,0.003401360544217687,586.0,56.0,683.0,2.0
0.06112213377395466,0.9127725856697819,0.9965986394557823,0.9528455284552846,0.07577807848443843,0.003401360544217687,586.0,56.0,683.0,2.0
0.06390847765114185,0.9141965678627145,0.9965986394557823,0.9536208299430431,0.07442489851150202,0.003401360544217687,586.0,55.0,684.0,2.0
0.065,0.917057902973396,0.9965986394557823,0.9551752241238793,0.07171853856562922,0.003401360544217687,586.0,53.0,686.0,2.0
0.06831050416300102,0.917057902973396,0.9965986394557823,0.9551752241238793,0.07171853856562922,0.003401360544217687,586.0,53.0,686.0,2.0
0.06891825227101177,0.9184952978056427,0.9965986394557823,0.9559543230016313,0.07036535859269283,0.003401360544217687,586.0,52.0,687.0,2.0
0.07,0.9183673469387755,0.9948979591836735,0.9551020408163265,0.07036535859269283,0.00510204081632653,585.0,52.0,687.0,3.0
0.07426276348618684,0.9183673469387755,0.9948979591836735,0.9551020408163265,0.07036535859269283,0.00510204081632653,585.0,52.0,687.0,3.0
0.075,0.9198113207547169,0.9948979591836735,0.9558823529411765,0.06901217861975643,0.00510204081632653,585.0,51.0,688.0,3.0
0.07538697483950928,0.9198113207547169,0.9948979591836735,0.9558823529411765,0.06901217861975643,0.00510204081632653,585.0,51.0,688.0,3.0
0.07673686506826569,0.9212598425196851,0.9948979591836735,0.9566639411283728,0.06765899864682003,0.00510204081632653,585.0,50.0,689.0,3.0
0.07969409437449375,0.9211356466876972,0.9931972789115646,0.955810147299509,0.06765899864682003,0.006802721088435374,584.0,50.0,689.0,4.0
0.08,0.9240506329113924,0.9931972789115646,0.9573770491803278,0.06495263870094722,0.006802721088435374,584.0,48.0,691.0,4.0
0.08051164046657039,0.9240506329113924,0.9931972789115646,0.9573770491803278,0.06495263870094722,0.006802721088435374,584.0,48.0,691.0,4.0
0.08446970712306107,0.9255150554675119,0.9931972789115646,0.9581624282198523,0.06359945872801083,0.006802721088435374,584.0,47.0,692.0,4.0
0.08499999999999999,0.926984126984127,0.9931972789115646,0.9589490968801314,0.06224627875507442,0.006802721088435374,584.0,46.0,693.0,4.0
0.08679249461243206,0.926984126984127,0.9931972789115646,0.9589490968801314,0.06224627875507442,0.006802721088435374,584.0,46.0,693.0,4.0
0.08926913602719397,0.9268680445151033,0.9914965986394558,0.9580936729663106,0.06224627875507442,0.008503401360544218,583.0,46.0,693.0,5.0
0.09,0.928343949044586,0.9914965986394558,0.9588815789473685,0.06089309878213803,0.008503401360544218,583.0,45.0,694.0,5.0
0.09480655139527008,0.928343949044586,0.9914965986394558,0.9588815789473685,0.06089309878213803,0.008503401360544218,583.0,45.0,694.0,5.0
0.095,0.9313099041533547,0.9914965986394558,0.9604612850082372,0.058186738836265225,0.008503401360544218,583.0,43.0,696.0,5.0
0.09665884134500094,0.9313099041533547,0.9914965986394558,0.9604612850082372,0.058186738836265225,0.008503401360544218,583.0,43.0,696.0,5.0
0.09999999999999999,0.9312,0.9897959183673469,0.9596042868920033,0.058186738836265225,0.01020408163265306,582.0,43.0,696.0,6.0
0.105,0.9312,0.9897959183673469,0.9596042868920033,0.058186738836265225,0.01020408163265306,582.0,43.0,696.0,6.0
0.10999999999999999,0.9312,0.9897959183673469,0.9596042868920033,0.058186738836265225,0.01020408163265306,582.0,43.0,696.0,6.0
0.11499999999999999,0.9312,0.9897959183673469,0.9596042868920033,0.058186738836265225,0.01020408163265306,582.0,43.0,696.0,6.0
0.11509523254118963,0.9312,0.9897959183673469,0.9596042868920033,0.058186738836265225,0.01020408163265306,582.0,43.0,696.0,6.0
0.1183268959673291,0.9326923076923077,0.9897959183673469,0.9603960396039604,0.056833558863328824,0.01020408163265306,582.0,42.0,697.0,6.0
0.12,0.9341894060995185,0.9897959183673469,0.9611890999174236,0.05548037889039242,0.01020408163265306,582.0,41.0,698.0,6.0
0.12320810337605367,0.9341894060995185,0.9897959183673469,0.9611890999174236,0.05548037889039242,0.01020408163265306,582.0,41.0,698.0,6.0
0.12460803204075058,0.9356913183279743,0.9897959183673469,0.9619834710743802,0.05412719891745602,0.01020408163265306,582.0,40.0,699.0,6.0
